,NC,source,feature,start,end,score,strand,frame,descr
10,NC_000001.11,BestRefSeq,exon,75750451,75750546,.,+,.,"ID=exon-NM_000016.6-10;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
11,NC_000001.11,BestRefSeq,exon,75761122,75761370,.,+,.,"ID=exon-NM_000016.6-11;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
12,NC_000001.11,BestRefSeq,exon,75762692,75763679,.,+,.,"ID=exon-NM_000016.6-12;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
13,NC_000001.11,BestRefSeq,CDS,75724788,75724817,.,+,0,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
14,NC_000001.11,BestRefSeq,CDS,75728401,75728488,.,+,0,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
15,NC_000001.11,BestRefSeq,CDS,75732644,75732741,.,+,2,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
16,NC_000001.11,BestRefSeq,CDS,75732853,75732922,.,+,0,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
17,NC_000001.11,BestRefSeq,CDS,75733528,75733628,.,+,2,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
18,NC_000001.11,BestRefSeq,CDS,75734791,75734871,.,+,0,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
19,NC_000001.11,BestRefSeq,CDS,75739980,75740110,.,+,0,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
20,NC_000001.11,BestRefSeq,CDS,75745806,75745914,.,+,1,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
21,NC_000001.11,BestRefSeq,CDS,75749419,75749559,.,+,0,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
22,NC_000001.11,BestRefSeq,CDS,75750451,75750546,.,+,0,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
23,NC_000001.11,BestRefSeq,CDS,75761122,75761370,.,+,0,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
24,NC_000001.11,BestRefSeq,CDS,75762692,75762763,.,+,0,"ID=cds-NP_000007.1;Parent=rna-NM_000016.6;Dbxref=CCDS:CCDS668.1,Ensembl:ENSP00000359878.5,GeneID:34,Genbank:NP_000007.1,HGNC:HGNC:89,MIM:607008;Name=NP_000007.1;Note=isoform a precursor is encoded by transcript variant 1;gbkey=CDS;gene=ACADM;product=medium-chain specific acyl-CoA dehydrogenase%2C mitochondrial isoform a precursor;protein_id=NP_000007.1;tag=MANE Select"
25,NC_000001.11,BestRefSeq,mRNA,99850489,99924023,.,+,.,"ID=rna-NM_000028.2;Parent=gene-AGL;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;Name=NM_000028.2;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
26,NC_000001.11,BestRefSeq,exon,99850489,99850898,.,+,.,"ID=exon-NM_000028.2-1;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
27,NC_000001.11,BestRefSeq,exon,99850975,99851124,.,+,.,"ID=exon-NM_000028.2-2;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
28,NC_000001.11,BestRefSeq,exon,99861503,99861713,.,+,.,"ID=exon-NM_000028.2-3;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
29,NC_000001.11,BestRefSeq,exon,99862257,99862423,.,+,.,"ID=exon-NM_000028.2-4;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
30,NC_000001.11,BestRefSeq,exon,99864386,99864589,.,+,.,"ID=exon-NM_000028.2-5;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
31,NC_000001.11,BestRefSeq,exon,99870400,99870581,.,+,.,"ID=exon-NM_000028.2-6;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
32,NC_000001.11,BestRefSeq,exon,99870758,99870869,.,+,.,"ID=exon-NM_000028.2-7;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
33,NC_000001.11,BestRefSeq,exon,99874687,99874810,.,+,.,"ID=exon-NM_000028.2-8;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
34,NC_000001.11,BestRefSeq,exon,99875154,99875256,.,+,.,"ID=exon-NM_000028.2-9;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
35,NC_000001.11,BestRefSeq,exon,99875358,99875455,.,+,.,"ID=exon-NM_000028.2-10;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
36,NC_000001.11,BestRefSeq,exon,99876458,99876597,.,+,.,"ID=exon-NM_000028.2-11;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
37,NC_000001.11,BestRefSeq,exon,99877641,99877828,.,+,.,"ID=exon-NM_000028.2-12;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
38,NC_000001.11,BestRefSeq,exon,99879923,99880046,.,+,.,"ID=exon-NM_000028.2-13;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
39,NC_000001.11,BestRefSeq,exon,99880632,99880795,.,+,.,"ID=exon-NM_000028.2-14;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
40,NC_000001.11,BestRefSeq,exon,99881076,99881177,.,+,.,"ID=exon-NM_000028.2-15;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
41,NC_000001.11,BestRefSeq,exon,99881292,99881447,.,+,.,"ID=exon-NM_000028.2-16;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
42,NC_000001.11,BestRefSeq,exon,99881541,99881691,.,+,.,"ID=exon-NM_000028.2-17;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
43,NC_000001.11,BestRefSeq,exon,99884120,99884244,.,+,.,"ID=exon-NM_000028.2-18;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
44,NC_000001.11,BestRefSeq,exon,99884339,99884451,.,+,.,"ID=exon-NM_000028.2-19;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
45,NC_000001.11,BestRefSeq,exon,99884569,99884703,.,+,.,"ID=exon-NM_000028.2-20;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
46,NC_000001.11,BestRefSeq,exon,99887978,99888108,.,+,.,"ID=exon-NM_000028.2-21;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
47,NC_000001.11,BestRefSeq,exon,99891220,99891356,.,+,.,"ID=exon-NM_000028.2-22;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
48,NC_000001.11,BestRefSeq,exon,99891606,99891739,.,+,.,"ID=exon-NM_000028.2-23;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
49,NC_000001.11,BestRefSeq,exon,99892432,99892607,.,+,.,"ID=exon-NM_000028.2-24;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
50,NC_000001.11,BestRefSeq,exon,99896286,99896388,.,+,.,"ID=exon-NM_000028.2-25;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
51,NC_000001.11,BestRefSeq,exon,99900636,99900861,.,+,.,"ID=exon-NM_000028.2-26;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
52,NC_000001.11,BestRefSeq,exon,99902683,99902794,.,+,.,"ID=exon-NM_000028.2-27;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
53,NC_000001.11,BestRefSeq,exon,99910712,99910847,.,+,.,"ID=exon-NM_000028.2-28;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
54,NC_000001.11,BestRefSeq,exon,99912405,99912517,.,+,.,"ID=exon-NM_000028.2-29;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
55,NC_000001.11,BestRefSeq,exon,99913527,99913738,.,+,.,"ID=exon-NM_000028.2-30;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
56,NC_000001.11,BestRefSeq,exon,99915389,99915486,.,+,.,"ID=exon-NM_000028.2-31;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
57,NC_000001.11,BestRefSeq,exon,99916410,99916497,.,+,.,"ID=exon-NM_000028.2-32;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
58,NC_000001.11,BestRefSeq,exon,99916598,99916731,.,+,.,"ID=exon-NM_000028.2-33;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
59,NC_000001.11,BestRefSeq,exon,99921534,99924023,.,+,.,"ID=exon-NM_000028.2-34;Parent=rna-NM_000028.2;Dbxref=GeneID:178,Genbank:NM_000028.2,HGNC:HGNC:321,MIM:610860;gbkey=mRNA;gene=AGL;product=amylo-alpha-1%2C 6-glucosidase%2C 4-alpha-glucanotransferase%2C transcript variant 4;transcript_id=NM_000028.2"
60,NC_000001.11,BestRefSeq,CDS,99851043,99851124,.,+,0,"ID=cds-NP_000019.2;Parent=rna-NM_000028.2;Dbxref=CCDS:CCDS759.1,GeneID:178,Genbank:NP_000019.2,HGNC:HGNC:321,MIM:610860;Name=NP_000019.2;Note=isoform 1 is encoded by transcript variant 4;gbkey=CDS;gene=AGL;product=glycogen debranching enzyme isoform 1;protein_id=NP_000019.2"
61,NC_000001.11,BestRefSeq,CDS,99861503,99861713,.,+,2,"ID=cds-NP_000019.2;Parent=rna-NM_000028.2;Dbxref=CCDS:CCDS759.1,GeneID:178,Genbank:NP_000019.2,HGNC:HGNC:321,MIM:610860;Name=NP_000019.2;Note=isoform 1 is encoded by transcript variant 4;gbkey=CDS;gene=AGL;product=glycogen debranching enzyme isoform 1;protein_id=NP_000019.2"
62,NC_000001.11,BestRefSeq,CDS,99862257,99862423,.,+,1,"ID=cds-NP_000019.2;Parent=rna-NM_000028.2;Dbxref=CCDS:CCDS759.1,GeneID:178,Genbank:NP_000019.2,HGNC:HGNC:321,MIM:610860;Name=NP_000019.2;Note=isoform 1 is encoded by transcript variant 4;gbkey=CDS;gene=AGL;product=glycogen debranching enzyme isoform 1;protein_id=NP_000019.2"
63,NC_000001.11,BestRefSeq,CDS,99864386,99864589,.,+,2,"ID=cds-NP_000019.2;Parent=rna-NM_000028.2;Dbxref=CCDS:CCDS759.1,GeneID:178,Genbank:NP_000019.2,HGNC:HGNC:321,MIM:610860;Name=NP_000019.2;Note=isoform 1 is encoded by transcript variant 4;gbkey=CDS;gene=AGL;product=glycogen debranching enzyme isoform 1;protein_id=NP_000019.2"
64,NC_000001.11,BestRefSeq,CDS,99870400,99870581,.,+,2,"ID=cds-NP_000019.2;Parent=rna-NM_000028.2;Dbxref=CCDS:CCDS759.1,GeneID:178,Genbank:NP_000019.2,HGNC:HGNC:321,MIM:610860;Name=NP_000019.2;Note=isoform 1 is encoded by transcript variant 4;gbkey=CDS;gene=AGL;product=glycogen debranching enzyme isoform 1;protein_id=NP_000019.2"
65,NC_000001.11,BestRefSeq,CDS,99870758,99870869,.,+,0,"ID=cds-NP_000019.2;Parent=rna-NM_000028.2;Dbxref=CCDS:CCDS759.1,GeneID:178,Genbank:NP_000019.2,HGNC:HGNC:321,MIM:610860;Name=NP_000019.2;Note=isoform 1 is encoded by transcript variant 4;gbkey=CDS;gene=AGL;product=glycogen debranching enzyme isoform 1;protein_id=NP_000019.2"
66,NC_000001.11,BestRefSeq,CDS,99874687,99874810,.,+,2,"ID=cds-NP_000019.2;Parent=rna-NM_000028.2;Dbxref=CCDS:CCDS759.1,GeneID:178,Genbank:NP_000019.2,HGNC:HGNC:321,MIM:610860;Name=NP_000019.2;Note=isoform 1 is encoded by transcript variant 4;gbkey=CDS;gene=AGL;product=glycogen debranching enzyme isoform 1;protein_id=NP_000019.2"
